point,time_s,signal_raw,signal_scaled
448,87.736836868,93900,44.7750091553
449,87.932595432,93706,44.6825027466
450,88.128353997,93518,44.5928573608
451,88.324112561,93330,44.5032119751
452,88.519871126,93141,44.4130897522
453,88.715629690,92947,44.3205833435
454,88.911388254,92749,44.2261695862
455,89.107146819,92541,44.1269874573
456,89.302905383,92329,44.0258979797
457,89.498663948,92121,43.9267158508
458,89.694422512,91915,43.8284873962
459,89.890181077,91708,43.7297821045
460,90.085939641,91490,43.625831604
461,90.281698206,91257,43.5147285461
462,90.477456770,91010,43.3969497681
463,90.673215334,90742,43.2691574097
464,90.868973899,90449,43.1294441223
465,91.064732463,90122,42.9735183716
466,91.260491028,89760,42.8009033203
467,91.456249592,89363,42.6115989685
468,91.652008157,88929,42.4046516418
469,91.847766721,88462,42.181968689
470,92.043525285,87968,41.9464111328
471,92.239283850,87462,41.7051315308
472,92.435042414,86957,41.4643287659
473,92.630800979,86458,41.2263870239
474,92.826559543,85962,40.9898757935
475,93.022318108,85458,40.7495498657
476,93.218076672,84934,40.4996871948
477,93.413835237,84372,40.2317047119
478,93.609593801,83747,39.933681488
479,93.805352365,83040,39.5965576172
480,94.001110930,82243,39.2165184021
481,94.196869494,81354,38.7926101685
482,94.392628059,80372,38.3243560791
483,94.588386623,79296,37.8112792969
484,94.784145188,78134,37.257194519
485,94.979903752,76899,36.6683006287
486,95.175662316,75611,36.0541343689
487,95.371420881,74292,35.4251861572
488,95.567179445,72975,34.7971916199
489,95.762938010,71692,34.1854095459
490,95.958696574,70469,33.6022377014
491,96.154455139,74588,35.5663299561
492,96.350213703,73437,35.017490387
493,96.545972268,72354,34.5010757446
494,96.741730832,71330,34.0127944946
495,96.937489396,70352,33.5464477539
496,97.133247961,69405,33.0948829651
497,97.329006525,68471,32.6495170593
498,97.524765090,67541,32.2060585022
499,97.720523654,66610,31.7621231079
500,97.916282219,65671,31.3143730164
501,98.112040783,64718,30.8599472046
502,98.307799347,63745,30.3959846497
503,98.503557912,62751,29.9220085144
504,98.699316476,61740,29.4399261475
505,98.895075041,60711,28.9492607117
506,99.090833605,59669,28.4523963928
507,99.286592170,58617,27.9507637024
508,99.482350734,57567,27.4500846863
509,99.678109299,56530,26.9556045532
510,99.873867863,55513,26.4706611633
511,100.069626427,54526,26.0000228882
512,100.265384992,53574,25.5460739136
513,100.461143556,52665,25.1126289368
514,100.656902121,51800,24.7001647949
515,100.852660685,55974,26.6904830933
516,101.048419250,55148,26.2966156006
517,101.244177814,54361,25.9213447571
518,101.439936378,53608,25.562286377
519,101.635694943,52891,25.2203941345
520,101.831453507,52208,24.8947143555
521,102.027212072,51560,24.585723877
522,102.222970636,50949,24.2943763733
523,102.418729201,50378,24.022102356
524,102.614487765,49842,23.7665176392
525,102.810246330,49328,23.5214233398
526,103.006004894,48830,23.2839584351
527,103.201763458,48342,23.0512619019
528,103.397522023,47859,22.8209495544
529,103.593280587,47379,22.5920677185
530,103.789039152,46906,22.3665237427
531,103.984797716,46450,22.1490859985
532,104.180556281,46005,21.9368934631
533,104.376314845,45566,21.7275619507
534,104.572073409,45126,21.5177536011
535,104.767831974,44686,21.3079452515
536,104.963590538,44244,21.0971832275
537,105.159349103,43805,20.8878517151
538,105.355107667,43371,20.6809043884
539,105.550866232,42949,20.4796791077
540,105.746624796,42545,20.2870368958
541,105.942383361,42155,20.1010704041
542,106.138141925,41775,19.9198722839
543,106.333900489,41404,19.7429656982
544,106.529659054,41044,19.5713043213
545,106.725417618,40698,19.4063186646
546,106.921176183,40364,19.2470550537
547,107.116934747,40043,19.0939903259
548,107.312693312,39732,18.9456939697
549,107.508451876,39432,18.8026428223
550,107.704210440,39145,18.6657905579
551,107.899969005,38871,18.5351371765
552,108.095727569,38608,18.4097290039
553,108.291486134,38354,18.2886123657
554,108.487244698,38113,18.1736946106
555,108.683003263,37888,18.06640625
556,108.878761827,37672,17.9634094238
557,109.074520392,37464,17.8642272949
558,109.270278956,37266,17.7698135376
559,109.466037520,37083,17.6825523376
560,109.661796085,36914,17.6019668579
561,109.857554649,36752,17.5247192383
562,110.053313214,36598,17.4512863159
563,110.249071778,36450,17.3807144165
564,110.444830343,36307,17.3125267029
565,110.640588907,36164,17.2443389893
566,110.836347471,36021,17.1761512756
567,111.032106036,35886,17.1117782593
568,111.227864600,35760,17.0516967773
569,111.423623165,35640,16.9944763184
570,111.619381729,35525,16.9396400452
571,111.815140294,35421,16.8900489807
572,112.010898858,35332,16.8476104736
573,112.206657423,35244,16.8056488037
574,112.402415987,35156,16.7636871338
575,112.598174551,35069,16.722202301
576,112.793933116,34986,16.6826248169
577,112.989691680,34900,16.6416168213
578,113.185450245,34811,16.5991783142
579,113.381208809,34727,16.5591239929
580,113.576967374,34653,16.5238380432
581,113.772725938,34585,16.4914131165
582,113.968484502,34522,16.4613723755
583,114.164243067,34466,16.4346694946
584,114.360001631,34413,16.4093971252
585,114.555760196,34357,16.3826942444
586,114.751518760,34301,16.3559913635
587,114.947277325,34248,16.3307189941
588,115.143035889,34199,16.3073539734
589,115.338794454,34153,16.2854194641
590,115.534553018,34110,16.2649154663
591,115.730311582,34069,16.2453651428
592,115.926070147,34028,16.2258148193
593,116.121828711,33984,16.2048339844
